| Run on Thu Sep  3 21:55:37 2026
|
|Input file:
|--------------------------------------------------------------
|&general
|  startframe=1,endframe=1,interval=1,verbose=2,
|/
|&gb
|  igb=5,saltcon=0.15,
|/
|--------------------------------------------------------------
|MMPBSA.py Version=14.0
|Complex topology file:           /home/ubuntu/rayca-sessions/e26cbe99-cda1-479d-beb9-9d03c9c7cc03-d43a861c8a85/mmgbsa_EDS01357518_ent2/complex.prmtop
|Receptor topology file:          /home/ubuntu/rayca-sessions/e26cbe99-cda1-479d-beb9-9d03c9c7cc03-d43a861c8a85/mmgbsa_EDS01357518_ent2/rec.prmtop
|Ligand topology file:            /home/ubuntu/rayca-sessions/e26cbe99-cda1-479d-beb9-9d03c9c7cc03-d43a861c8a85/mmgbsa_EDS01357518_ent2/lig.prmtop
|Initial mdcrd(s):                /home/ubuntu/rayca-sessions/e26cbe99-cda1-479d-beb9-9d03c9c7cc03-d43a861c8a85/mmgbsa_EDS01357518_ent2/single.nc
|
|Receptor mask:                  ":1-142"
|Ligand mask:                    ":143"
|Ligand residue name is "LIG"
|
|Calculations performed using 1.0 complex frames.
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|All units are reported in kcal/mole.
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                   1007814.8606                0.0000              0.0000
ANGLE                     2772.5304                0.0000              0.0000
DIHED                     2228.4281                0.0000              0.0000
VDWAALS                   -461.5930                0.0000              0.0000
EEL                      -8493.4323                0.0000              0.0000
1-4 VDW                    565.7678                0.0000              0.0000
1-4 EEL                   5856.8753                0.0000              0.0000
EGB                      -1858.0442                0.0000              0.0000
ESURF                       55.4059                0.0000              0.0000

G gas                  1010283.4369                0.0000              0.0000
G solv                   -1802.6383                0.0000              0.0000

TOTAL                  1008480.7986                0.0000              0.0000


Receptor:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                   1007812.0209                0.0000              0.0000
ANGLE                     2759.3178                0.0000              0.0000
DIHED                     2193.8673                0.0000              0.0000
VDWAALS                   -429.1198                0.0000              0.0000
EEL                      -8406.6111                0.0000              0.0000
1-4 VDW                    552.1413                0.0000              0.0000
1-4 EEL                   5787.2531                0.0000              0.0000
EGB                      -1853.7794                0.0000              0.0000
ESURF                       56.5783                0.0000              0.0000

G gas                  1010268.8695                0.0000              0.0000
G solv                   -1797.2011                0.0000              0.0000

TOTAL                  1008471.6684                0.0000              0.0000


Ligand:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                         2.8396                0.0000              0.0000
ANGLE                       13.2125                0.0000              0.0000
DIHED                       34.5608                0.0000              0.0000
VDWAALS                      3.2206                0.0000              0.0000
EEL                        -74.2927                0.0000              0.0000
1-4 VDW                     13.6264                0.0000              0.0000
1-4 EEL                     69.6222                0.0000              0.0000
EGB                        -40.9983                0.0000              0.0000
ESURF                        4.2775                0.0000              0.0000

G gas                       62.7894                0.0000              0.0000
G solv                     -36.7208                0.0000              0.0000

TOTAL                       26.0686                0.0000              0.0000


Differences (Complex - Receptor - Ligand):
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                         0.0001                0.0000              0.0000
ANGLE                        0.0001                0.0000              0.0000
DIHED                        0.0000                0.0000              0.0000
VDWAALS                    -35.6938                0.0000              0.0000
EEL                        -12.5285                0.0000              0.0000
1-4 VDW                      0.0001                0.0000              0.0000
1-4 EEL                     -0.0000                0.0000              0.0000
EGB                         36.7335                0.0000              0.0000
ESURF                       -5.4499                0.0000              0.0000

DELTA G gas                -48.2220                0.0000              0.0000
DELTA G solv                31.2836                0.0000              0.0000

DELTA TOTAL                -16.9384                0.0000              0.0000


-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
